,id,breed,breed_int
862,150a95102a32d2f099b02a445442310b,keeshond,66
491,0bbe00ace11a4dd944b8bcf8ca9772c1,labrador_retriever,51
3276,51643c8ddbc667c105b108f163ee1932,basset,59
8844,ddcaf8e4f88b5c86a622cd62cfadfd5f,german_shepherd,113
7555,bd6927dadc87d3e7c5beb8009ecac5e2,afghan_hound,2
654,0fee7eb61d52b589414845803d73f2f9,scottish_deerhound,0
4660,748edf024aa0ca6493917ece530b65a1,airedale,11
1747,2b42884366cd108df865e465d4b65e7c,rhodesian_ridgeback,38
3599,596f4191de1c216a176cb18e01467295,redbone,103
9617,f1e82eac53a1fc3f2e3e4b151537c5ed,chesapeake_bay_retriever,54
1157,1ccdec00a47e2dd48976e2962f19c9a4,groenendael,61
6930,adfe10ae8d4b90ba0abb56a0648dac8e,whippet,23
9300,e97e598576bbc9adf772f244870d4c7b,leonberg,13
4657,748256d6f5781e0404b63b6e6e6a1dc7,french_bulldog,108
8071,c9bf9e02568ef44c0f8ab9e4b59bf3d4,labrador_retriever,51
5157,82774b211b700b0b0d7616b75520f511,chihuahua,106
2340,3a36af8136011500b89c3352d3ff40dc,pomeranian,6
2075,33d84db8872f7ba0877f868a0b341554,brittany_spaniel,99
4511,7092ab2a22edbb3bec5f93ecf2ddb331,silky_terrier,34
5261,8486e8159f169e8c3d4697e5c859760f,english_setter,55
5718,901efa01e94e8601a4a1755a47377748,siberian_husky,24
5233,8406d837b2d7fac1c3cd621abb4c4f9e,west_highland_white_terrier,64
6904,ad4d7770f3228e65faeb968c1e0465c1,shetland_sheepdog,84
6996,af5f51e5e660d9e0459c81d621dbab6e,chow,27
6808,ab04c82dada7f9657782b29695a7c36b,norwich_terrier,78
254,05e93a5604440b065143c81be16cd395,whippet,23
88,021b5a49189665c0442c19b5b33e8cf1,entlebucher,3
1117,1bdd7be5d86db9f293136bc94338e667,rottweiler,85
8395,d2800b5baf5bf85e6adda6f776d8829a,walker_hound,110
4237,697962b69a261d59953be24201bb94b5,staffordshire_bullterrier,76
5207,8373b804dda03f182fe857759f9d5fcd,standard_poodle,75
7894,c58a5e34509845ddf019edd6d896c6b1,flat-coated_retriever,102
7141,b333b37df9ebb167887a6f7a2f25dccb,rhodesian_ridgeback,38
3852,5f6ceda86f7a13aff0fa2db67ffd48e0,italian_greyhound,28
751,12b72be0bcd7a96172fee4f7cd5b01fd,great_pyrenees,7
2532,3f0ef4652899749d98df8a05a576239b,tibetan_terrier,10
3984,62f6caea97d8f4602874c432a6b8189b,vizsla,109
2143,356af0796a079ee87656eb7b25fbf293,chow,27
289,0700d58c82bafe9c4edc81f902178e76,airedale,11
3892,609128c7df2f937179d2c6c3e3e33f5d,staffordshire_bullterrier,76
5103,810f18d93e924f65bc5ec1c859c38400,norfolk_terrier,53
1850,2d96d7258d31f2e7430c91ce4cee2cb6,bull_mastiff,94
8292,cfa922cad858484df5a928fe0db40b61,standard_schnauzer,101
1735,2ae9f5755f70cf91904ee19f7759b065,cardigan,86
7939,c66eb3e1eb11ce2482beb25b2a4095c5,great_dane,92
5258,8480ad94841309fc4ce874c4b1afc90c,saluki,20
2805,44e59225be92c4cecb96acc669962242,boston_bull,41
1908,2ee404ea374b264dfc4f47bac97190ea,groenendael,61
5528,8b8d64d47df5dfa4fdd0581e476103be,staffordshire_bullterrier,76
5820,9302083c61e3af329ca6143f6fae43e2,groenendael,61
9174,e6689ca3adab4609b12a24868b8d3bef,dhole,87
10174,fee1696ae6725863f84b0da2c05ad892,bull_mastiff,94
1160,1ce8e4d2e4e941ce9045bdcb9c884ad3,irish_setter,39
2700,42a294b2c65e0f3dc8c4ba451b53a31a,rhodesian_ridgeback,38
8768,dbb75e40f88b9703dbfe196f6ec57b3b,kerry_blue_terrier,57
4651,745bba112487c0ba5e0eaecffdadc0f0,kelpie,45
3811,5e454337753e8b4c560faceb5c1319de,italian_greyhound,28
839,1476da6f7fc9421c8ec3c0aba6b3e1bf,black-and-tan_coonhound,83
5287,85435798dee261580b06866dcb693210,newfoundland,32
4038,64823d438ff897c9a8888571e5b0bb2f,briard,119
3181,4e7f77af004f5ba2991752998e971725,welsh_springer_spaniel,73
4199,688b70ee890696dbb745347a8b682ac3,american_staffordshire_terrier,97
8260,cecc7ef1ebe7682f38c497bbdcf8b391,japanese_spaniel,15
13,006cc3ddb9dc1bd827479569fcdc52dc,bluetick,49
1449,242c1504139ece5b84e93efcef9b322e,malamute,67
8004,c847b641c1424f39725470c28bc93262,bloodhound,50
2393,3b8ff56bd0a56a512c330c0007843cd3,cairn,12
6406,a194b577d699f7c47359db2692e3b464,afghan_hound,2
3407,54c2817736a466bb001e030b1a4ba116,eskimo_dog,118
4474,6fb144599ec91a40edeac0d884ff43b2,groenendael,61
2747,4390ec0ddb52711687825153550e0f6c,norwich_terrier,78
5323,85f0e9f401e46e30a86c5bc7fb7df968,cairn,12
7271,b6281e28d445000d206c5d89af27335c,norwegian_elkhound,25
1672,297c98b5f86ea26e42794edb4885105a,irish_water_spaniel,82
4355,6c9dd7ea6386769954f6f39ea755db1a,japanese_spaniel,15
7249,b5adfdc1436b06e71caf363fa8d4d4b9,borzoi,88
2220,37b5b25c181eb0c2e15d2c26f39695a4,italian_greyhound,28
332,080073330bb8954505340cf18159fbb8,shetland_sheepdog,84
5657,8e802d5459b5e857e832c721d6cd3a35,blenheim_spaniel,17
6674,a7927966a651971484cadea0dc318de6,bernese_mountain_dog,4
5189,831efcef1f4cf4837279d6e01becc3cb,welsh_springer_spaniel,73
9210,e78ff6b0a2d3a58234760d45e984eccf,boxer,91
8368,d20381f965804795464f2e1d77dabcd1,brittany_spaniel,99
4599,7309638ce928e5cfb1585395b9c0da79,bloodhound,50
6918,ad9c639bb2516d7433d0f0bc10487116,irish_wolfhound,19
7549,bd58517f201e88d3726593341f2482e4,english_setter,55
9445,ece3ba1b205d68f8860612f993ade240,malinois,98
8761,db84277a5adca6b4a349396f6070287f,gordon_setter,65
2185,36c15b6af1207f3fbd83aa695f342711,brabancon_griffon,116
3630,5a25f43e06fbe8a29d47efaf697eaf95,standard_schnauzer,101
9475,ed8bd115216fc760fd0ae45471791f7f,leonberg,13
2429,3c6a53595e1cd63e63fdc166e4223606,bouvier_des_flandres,46
1487,24dba573c683eb299eb3b3a4c5ee353d,english_foxhound,47
8576,d7413008ce8567c15e05cb6894ec49a2,bouvier_des_flandres,46
257,060112a1a77217039de21f7d0963929d,dhole,87
4423,6e80238fe40085f699fb15bb57cac132,german_shepherd,113
7084,b1e5e40a1122d30cf96febd2fa974938,dingo,70
1065,1a73a13d9f2afa549299a725ab564ab9,sussex_spaniel,79
1792,2c6747e75d62a9137f6d51e6d52dc61a,bernese_mountain_dog,4
5214,83a137fb6abe59be20c461b1b9de87ec,redbone,103
1972,30b62336313d7ba5eee9a0a00f25d976,weimaraner,48
3891,608daa34284981501bb9ad2443579a21,curly-coated_retriever,100
1252,1f0009002cd89d41b30791766bbf9102,collie,42
9984,fa79fd049300f5082393fa99a142cd7f,sealyham_terrier,37
6947,ae4431c09466aee8c31a707b6aac0666,siberian_husky,24
6100,99fbeea51938834952e2bd18d3244dff,boston_bull,41
4750,77206715d37089e33d8c126485ba24c7,african_hunting_dog,44
3551,585415deac2e42c00d225fdcbe3ef466,greater_swiss_mountain_dog,56
2848,462e88422f0889ec7cadcf742042e5ec,maltese_dog,1
7812,c35ca6430da03f82df091ced49f0b07e,australian_terrier,18
1494,24f0dfc7352681f4572fe72514c5095c,entlebucher,3
4908,7b24d09942636357222519c79badaa20,bloodhound,50
1085,1adf573efd5f90c4b11be12afbf66e3d,chihuahua,106
9357,eaa3b3bff09bb80c64937996a1be2d92,dingo,70
4681,754b8255e5c1580b1d7c8e1bb8e41395,appenzeller,81
469,0b345d4f2434903c374ad8b8513a289b,malamute,67
3979,62d8924776e3a6842ab24f86fe866677,labrador_retriever,51
2095,342c263550c5aa28659d8aac3b5db023,kuvasz,107
3047,4b4b970f447e78e9e0094a482c24f90d,border_collie,104
266,064dff92e5654a8679f8971a027a4040,sealyham_terrier,37
4740,76f332f9bc92a0ede6185410b21065ba,italian_greyhound,28
5545,8c02f4026ef8f3595879db865c7b9f0d,chesapeake_bay_retriever,54
2240,37f535c853a2d1c0dd13b94e9545db81,scottish_deerhound,0
6814,ab1b5ed3e3894eb6caa70609add09443,ibizan_hound,30
773,131d708a270a3ebca285978bf53df62e,tibetan_terrier,10
2974,496ff6d8b62644b35c39b735e95887f5,bernese_mountain_dog,4
3031,4af283a82eed700f8571046eeeffb52f,collie,42
5987,9708b549ad1a33a5635220927e200fe5,weimaraner,48
2536,3f3fcf38217b52ce62f4bb6d162693de,staffordshire_bullterrier,76
3380,53f55bd1db61a777322184bbde411466,newfoundland,32
4475,6fbbb4c3e5619162bfee38128326a55b,english_foxhound,47
9142,e59d5676c3b4910024b164265ace3217,afghan_hound,2
9524,eec01ae653b0373466a2719f8d56d8d1,rhodesian_ridgeback,38
5617,8dc51b503e88122ad71dd0c7569fd3bb,toy_poodle,72
5787,923ae97ae8d714eaa8a566c8a0370f22,malinois,98
5343,8677413d3a09837dcceea509c0e581ed,standard_poodle,75
3581,591dc4d4d83803043574e20ee604821b,cardigan,86
8503,d58b5b82b7d9ee79e4206e2be1c49528,dandie_dinmont,35
719,11b60d8d86f14a601ca290909a17cbc6,affenpinscher,71
8265,cede92d889f449e6bb5ad7fe10e5f887,lhasa,33
588,0e7712450813da57f7df73fc45a183b4,entlebucher,3
7077,b1b4adaf22d7927653f4188725d6ce27,sussex_spaniel,79
9904,f8d48f89aaa55962d4beb853a128eac7,silky_terrier,34
3115,4d07baea3d7e78ff59ba05dda3f3932a,japanese_spaniel,15
2187,36c8a8c901324e0c34db896724abec3b,english_springer,93
6902,ad467c591ef2892ba9a450613ece9097,cocker_spaniel,95
4464,6f68ebaf89c39021195ce96796fc83ae,tibetan_terrier,10
7398,b9442ec825000b9b061cd71ed5eac36a,groenendael,61
6726,a8b9ff7ca06057bca49a48efe93487ce,rottweiler,85
17,007b8a07882822475a4ce6581e70b1f8,redbone,103
9377,eb44fc73de4f0d0f247c84284ae3c70d,malamute,67
1847,2d8945b0a70d3a37960020113c2d118f,japanese_spaniel,15
6410,a1a08aed21aafc7d2a271b1653639fd1,bedlington_terrier,36
6859,ac44e2f1e64ee853996b772fb1f703aa,beagle,14
4204,68a753297dea58dedd5b1af1dcfd1f46,ibizan_hound,30
562,0dd7b725203b91c30ca4f796d168e6ba,borzoi,88
1756,2b78075f0f8cca467507ca475610b762,english_foxhound,47
9758,f5aae143adf81f97da05095d78d73350,chihuahua,106
4437,6ebf1c0837a6179e5f96f6db6a0700b2,miniature_poodle,74
6793,aa91acec6c98b310559872490609fbe7,redbone,103
6691,a7f36feff3c6fc2406d316f75381c491,toy_poodle,72
3902,60fe89184dbf6612ca2372700ebbc890,dandie_dinmont,35
8816,dd10fca78ab9624a15f55293c36ad292,basenji,8
8007,c85fdb661bce3147ba6560f1f72cbbdd,samoyed,9
8924,dff884afad091397ca26465ffaa75084,cairn,12
1398,227b12b4c21b19559158c6cacfbecf8b,ibizan_hound,30
9519,eea74111b12a1cc83201158a72cc141a,norwich_terrier,78
1078,1ad1668986f5e9413d37f4481d5cecc7,samoyed,9
7890,c57758b4e77717dbb2cdcb876b2b13ca,otterhound,111
6267,9e486b33df53bfef19c178ecc95f3e4d,boxer,91
4126,66c6f1d257f800de60c0d088561c44e9,clumber,68
9970,fa4b9e80e2300c45a73f165fd34b3378,entlebucher,3
9950,f9dece751a4afe2330c02007681a7f81,collie,42
1024,193e6325dad77ffdc789c0827dbc228b,bedlington_terrier,36
3196,4f0017038ac11483e95ccf1a66713200,doberman,96
6962,ae9ef42cbf311e628355ca4ad5116e5c,pug,26
1110,1ba6f0bfea9b9313b16472227b8f15ec,old_english_sheepdog,40
1112,1bbff1372370ec584225f44f6e33fb80,curly-coated_retriever,100
5959,966552158b2bd4831994618a1b8aca0e,border_terrier,31
4841,79830abe3ee01ebd66d13324aa69ddd2,sussex_spaniel,79
6795,aa9482ec3a28d952eac962c174e45024,leonberg,13
3856,5f886388c9da2c09d6e3adde3c247243,irish_setter,39
7335,b7c6ac4395621347dd6203f421a5ac28,tibetan_terrier,10
10061,fc3100b4cc97f41f55e86668d47d26e2,leonberg,13
5468,8a0717f2adf56db70bf360f6464f29b6,bloodhound,50
236,0581b47e4c3890fb74a5485aa4d008f0,irish_terrier,62
4161,6782c77720149b1b1d96d3494363efec,miniature_poodle,74
7858,c47bd2467bbecfdd7ebb15abcdd9ba69,malamute,67
5533,8bba6c2e3b2994c4e313d2c489e29880,golden_retriever,117
2313,39b9c151e6d6a50cc7c917e0d8aa99f9,newfoundland,32
5884,9478b7532067872cbdfaa180484c3064,blenheim_spaniel,17
3018,4a8d3afc461d55418d1ee15304ca1b9b,chow,27
1910,2efc1bf43b1e4beaebae74f0cf80dc2e,silky_terrier,34
7959,c70d4ad5aee0d56f5a8bc63c0079380d,chesapeake_bay_retriever,54
8280,cf44ff5245f6b6c1ea2ad82930bfb237,affenpinscher,71
5829,933e245251bc667ce6ff74f12dc998fe,malamute,67
9423,ec483170d4a9c12f9f7bd0d691de7c6d,norwegian_elkhound,25
7552,bd64158308bbc5e2584e89f6e2ea2ff4,keeshond,66
8771,dbd006d2d983a1b52238dc293d5139c0,whippet,23
1654,291508bcd740d30e288da0be54c031da,tibetan_mastiff,112
1496,250002ac1d5de344d9d64c93a2eabf9b,weimaraner,48
3077,4bd83d80fbab26a3a1f0d73785cf7af6,german_shepherd,113
7478,bbc95880ac02d4f5c83728c81ace158f,flat-coated_retriever,102
4938,7bfb770e356f25a6e6d044fca4a2b66a,chesapeake_bay_retriever,54
3004,4a3159c6a7643f6accd3e1f71f4eebdb,australian_terrier,18
9876,f83683931d1c95c7501b11a3edb4acbe,bernese_mountain_dog,4
6896,ad2dfa0202d8ea3766fea1e743cd5166,standard_schnauzer,101
3865,5fd5b7ea62dbd1228be9ede04411d45e,italian_greyhound,28
3224,4ff1a1c62acccfbb0bb1a6ecb4f29682,basset,59
5518,8b3bd046cdd3d7562396aa63d0185628,otterhound,111
8104,ca7befe874fe442e48d5cf546b2e5dcb,basenji,8
3518,57a12c8dcfb907f389dfa244f2987004,irish_wolfhound,19
8164,cc12832a69a89000c395c4398b72d0e2,whippet,23
5379,87c3089fb8c7c00ae4ce78b939530f84,great_pyrenees,7
7872,c4db7de5ca4286cebbf924a1af21bdd7,bluetick,49
1379,21e6981e660e8d7674cd820809505a16,whippet,23
817,141706c74486585c27de2dfb335695bb,saluki,20
5461,89e04e8b173e1bd50911a94ddd6f1dd9,dingo,70
9753,f5940c13d959f10561fda7afad8510c2,leonberg,13
8008,c86661fc69fdc300f6bfb5f4e9e4fde3,rottweiler,85
4577,7262b773c5838d6093941df38bd1f319,sealyham_terrier,37
497,0bf89dcb09d8c76be568f17811664560,briard,119
7750,c210e7dcbc9438e0bf04e8e0d15bee04,bouvier_des_flandres,46
9452,ecffcf50e9df121652758b9371ca3792,bull_mastiff,94
7870,c4c7028d5b4e3908836261eaab862230,brabancon_griffon,116
5320,85ee2259befe2e52c2200c7ca75f35e1,norwich_terrier,78
3813,5e6b5db5a4b4e716c0349840498b1126,blenheim_spaniel,17
8600,d7db04ffefefce6e6a1ddedbd350a38f,irish_water_spaniel,82
5911,953a85c624c95ff9c6f59d4518533883,great_pyrenees,7
8243,ce3366408fc2cad7559b24f14c074655,pug,26
848,14b27fd74697cf699143ade2d4f801fc,malamute,67
5136,81b68a5f988ebd40908e197237284801,afghan_hound,2
407,09c62a1ff26b3e83a2d476c2add054b1,afghan_hound,2
9693,f3d98aab47dfabd6c98750f45f6c4038,german_short-haired_pointer,90
8647,d91689717c8333406434d3511990958d,briard,119
9944,f9bf654be6ec7d1c40935aa397a3edbf,african_hunting_dog,44
7994,c7f915c8e4ced5a955be4679b389b83a,bedlington_terrier,36
3837,5f13f3f69105c0e2852a061901bae0d7,english_setter,55
4217,6919b332c76a4b0d41c26273016bff95,flat-coated_retriever,102
7766,c259c58c68675139297a4351963628ca,keeshond,66
7652,bfab7814cbe737f504129714fdc61e4f,irish_wolfhound,19
3198,4f031cd233512f9c4c3bbfe354510eac,basset,59
8776,dbfff28982e6d9f71c4491d3f9246fac,rottweiler,85
5043,7f96702ed50c1611ad2b1980a0f9e5af,otterhound,111
1146,1c8d28b7bb59a685a201e7adbd6d3563,eskimo_dog,118
7200,b45ed1800440f35413bd0f2ffaec5003,airedale,11
4254,6a0c2945c9872f66ec3b57e7a09676f2,black-and-tan_coonhound,83
2743,4374f725ba2ed881e4ebd32b4cc40393,irish_water_spaniel,82
4804,788dcabb3cbccea5a2818e57dc00f1ea,clumber,68
3650,5add2f9fdf959c5dd8e5b2b21128864d,sealyham_terrier,37
889,15a4ad475f9c8b2250df082b8e741d94,gordon_setter,65
9637,f28df9c49c705281298bc288ffab24b2,boxer,91
2989,49e799f01da4a195a96477fe763b4aec,shetland_sheepdog,84
8631,d8b93a3e7f2635d7487dd2749c194e22,dandie_dinmont,35
1305,20539c9fd72a07a186748e78e51cf5d4,malinois,98
1670,2974dccc97c0cb25f7873e33a4730f47,shih-tzu,5
8240,ce2255d0df0d65119a0ac484a18d0275,gordon_setter,65
9536,ef0cecbeaee4a08448d449a7c1e65f17,soft-coated_wheaten_terrier,105
2592,40622bc62f8289586d5e1deeaeb4a227,welsh_springer_spaniel,73
1083,1ad70c17e5e38db454ec75b711ce73ad,lakeland_terrier,21
3371,53c4dca72c081ced6dd663b17e505080,basenji,8
9096,e4b586f1a120bba42545d866d45d0602,blenheim_spaniel,17
648,0fc6556b7504fc473d8bdaa0a555a4de,samoyed,9
2384,3b3ab97d636033d061d1fa2e18118f20,leonberg,13
566,0df07a23ab97135ce7d390f2d12e388d,silky_terrier,34
9711,f45060c4cac8b690aaa61a510e1d30c5,papillon,22
5437,89259775667d598ec37018874b494220,toy_terrier,77
3119,4d11bd700573b78d223e9ff0ceb94f3a,english_foxhound,47
267,065221667b1ed903e364b9063ee2195b,lakeland_terrier,21
7905,c5b1bb2153ca0ac74e7049f5264518a0,shih-tzu,5
744,1278143f78dc063c1e29970bf3eb32a2,afghan_hound,2
8059,c97a4453b7247d68bb2f12c30dac1676,collie,42
640,0fa361cea0655e945970cd4762355ac0,saluki,20
7650,bfa0490063b75ca9fa1b022dc711d88e,entlebucher,3
9441,ecd514c6eefa5bb8e0b1f71724483e05,rottweiler,85
7417,b9b54494a2ed02ea74f0ef26a8cca728,yorkshire_terrier,63
8760,db80c33cdf2c6723380d77e0f7bc7abe,bluetick,49
1365,219a919735822e98d89cca96fd89107b,siberian_husky,24
5658,8e8e8e089554f1c73883a0172649a0f2,italian_greyhound,28
6988,af2da8ee3367dd69472b5540750e7afb,rottweiler,85
6012,97c1a3631c969b4489ede8ec9c80b4fc,malinois,98
1056,1a3b8d07144c42b337b9ac0c37cdb707,norwich_terrier,78
2360,3ad79928c45be8e357816dc1ce708c9b,keeshond,66
9851,f7d18ca76e6b4e359a27955726e9a656,kelpie,45
2636,4144b660e077bbc348b8ef1125185194,irish_wolfhound,19
9933,f9a1339b0ef12e47ae875a86cf91524b,dandie_dinmont,35
1286,200a51e8f11ebbb884fc6cf01973586b,borzoi,88
7685,c0725c69b3af65f3e884c2b9bb41f5cd,kelpie,45
8365,d1f7ce7e656abd32521c790c04f768d1,lhasa,33
1388,221d6a5556c33cebd3d2f51eb6565dcf,samoyed,9
4260,6a35c6ac718976b465c67e6067180601,bouvier_des_flandres,46
10005,fb0568b6c25ef5bc9dded95154b1cfc9,soft-coated_wheaten_terrier,105
2403,3bcfb0bcd983a298aa63e5f30e7d2e65,sussex_spaniel,79
468,0b30d48dd2818cdea768d884623e8c2a,toy_poodle,72
4001,6366e33e378df764b143dbae6809b756,beagle,14
6237,9d59793a5c249214baf030d2f6cf107b,chesapeake_bay_retriever,54
2501,3e554e9a381e2c2ed11b91aba1bd03c8,saluki,20
2707,42ce977acb6a65196535182062d248d4,basset,59
8919,dfd42ce694fd4af24a71392b94176b56,leonberg,13
6786,aa738e200b779d28af87b388f1dd309b,siberian_husky,24
10040,fbbe0a41f7fa5cd4b69f25d8693e55f9,scotch_terrier,58
9790,f6652a6cf81ed972d896b7c51e6aa39f,entlebucher,3
2063,339b364c38154241070ef70a6769fbed,australian_terrier,18
4616,735ac1d802a4f692d30e7fe40e256103,african_hunting_dog,44
8060,c97b5df44a2ce52af36cfbdb2482c680,vizsla,109
1257,1f249e94a204f4daf5946350cf116448,schipperke,43
10216,ffcffab7e4beef9a9b8076ef2ca51909,samoyed,9
6437,a23f53a45ee2d6d6218c7e3b70234091,boston_bull,41
2188,36ceaba7a4368d3801d874f2e7dca3ad,great_dane,92
2533,3f16503c0499060c5d31695669fc4e69,border_collie,104
6173,9b68b5724c63b5127703bce31dd1fa65,briard,119
937,16ed388064b485a047d02a147e0a5cff,lhasa,33
5128,8182c860efb9ebf248886c0e70216e01,collie,42
2370,3b12048d020041c45c17515607f11ffc,french_bulldog,108
10086,fcab59cd421ec3d233da0027d664657e,saluki,20
3355,53473e80b84c98e1f6e29f1227001a07,collie,42
16,007b5a16db9d9ff9d7ad39982703e429,wire-haired_fox_terrier,60
6913,ad73ccb66bea3c236de86fb950593173,dandie_dinmont,35
8528,d61a270df934b36a3d04fa329ffedc89,cairn,12
2778,4465d1adaf0c715bebb2e68c639ea734,african_hunting_dog,44
672,106a740e7e34d80e35b0f40a3d96fc1b,chesapeake_bay_retriever,54
1111,1bafd4087e50329b631375664b933e90,staffordshire_bullterrier,76
395,098c722479a8288c57b545781d5c54bd,german_short-haired_pointer,90
7571,bda8225dd3edf5e413f18e52fdcf5050,whippet,23
5768,91a41fe9c86b0fc3cd70a72fb29018a2,soft-coated_wheaten_terrier,105
6360,a048795ed9051cdcf322e407293ef855,toy_terrier,77
1515,2585d3d8b52a90296e9b9917a9bfc81c,black-and-tan_coonhound,83
4691,75a3eed24c4f6404f12186413372d38d,bull_mastiff,94
3847,5f4bb04cfbde2a1d7c8ab8489dd60929,bull_mastiff,94
1185,1d9246c677dda341b5da58a0a3af98d6,borzoi,88
8043,c91b930254bb79924d90086f3353a8ab,brittany_spaniel,99
5712,8ff0a26e39535edfde6fb02bdd83e9ad,borzoi,88
9769,f5dcfc042f10a6a57a54d42a4a1f2406,french_bulldog,108
151,03b0e7ace52c10dc4878f60307cdebe3,saint_bernard,52
367,08b49c79fafad70a23c770b1fcaa89ba,komondor,115
1890,2e9c04fbf919d4bc2222a64fb15bad75,airedale,11
412,09d7cc03f9e9730bda53b4a590351838,papillon,22
4447,6f0da929ad7f82be1c274dc0d2f56a4c,boston_bull,41
8894,def4b391140f0633501190070ffd81e5,cardigan,86
10054,fc0b8fd26e1db206b60074b7b2598465,english_foxhound,47
